id,bn_runmean_cos,bn_runmean_l1_neg,bn_runvar_logcos,bn_affine_cosine,member_sac,member_cka,member_margin_spearman,member_pred_agree,test_sac,test_cka,test_margin_spearman,test_pred_agree,cutmix_sac,cutmix_cka,cutmix_margin_spearman,cutmix_pred_agree,aug_delta_logit_cos,aug_class_delta_p10,aug_class_delta_p50,aug_class_delta_iqr_neg,aug_change_agreement,aug_label_agreement,member_ddv,test_ddv,cutmix_ddv,member_sac_w,test_sac_w,member_sac_hc,test_sac_hc,boundary_pred_agree,boundary_sac,layer1_cos,layer2_cos,layer3_cos,layer4_cos,layer_cos_mean,layer_cos_min,jacobian_cos
94,0.35300456762094523,-0.0948130190372467,0.29433618484896407,0.7402504788844706,0.48332626592226696,0.577189938395487,0.3122434095608524,0.63,0.5931635534385022,0.6559440702613178,0.457750387937597,0.6245,0.529726016529747,0.6153442183593533,0.27805775301443825,0.4255,0.16230830631757795,0.08044297017607058,0.1645891610169013,-0.09139392465523927,0.838,0.616,0.9226336479187012,0.9393073916435242,0.893986701965332,,0.5603217464299295,0.7383446042899042,0.7620909880209101,0.28,0.4567879672413814,0.8374985255313657,0.8003205008970364,0.7047905162378736,0.2516814414282561,0.648572746023633,0.2516814414282561,0.2879285216331482
95,0.14641196358221092,-0.4754372239112854,0.15082433195525433,0.6201011475355299,0.13608712007089613,0.35129224572216405,0.08300460875115219,0.2215,0.2030320232017569,0.4173241545370265,0.12382471445617861,0.235,0.2918414404237586,0.3613065606262775,0.05722324580581145,0.1655,0.0346378027496245,-0.013372790819210575,0.03840690726232168,-0.05682075245167384,0.7355,0.2155,0.8549579381942749,0.8507758378982544,0.8065258264541626,,0.2555346676107111,0.21826483179901718,0.2631062457997186,0.1,0.2481773686822381,0.8027462940055299,0.772202224298799,0.6979234026389592,0.3424614345165694,0.6538333388649644,0.3424614345165694,0.03878609277307987
96,0.9967598836668261,-0.0014540955889970064,0.9979079266568729,0.9997757749101805,0.9998015171276328,0.9603107724204252,0.6538825214706304,1.0,0.8835922671297822,0.9491548779447249,0.8916759714189929,0.867,0.8032318572277996,0.8972046484225117,0.6951684747921187,0.733,0.7764869561031575,0.7388134752349557,0.7768816584421734,-0.044928051459847684,0.999,0.9995,0.9998984336853027,0.9949755072593689,0.9765436053276062,,0.7332163558082861,0.9999835013954462,0.9999843951783159,0.545,0.7506502881246712,0.9989314794076377,0.9971197334237111,0.9856738866274032,0.98304201678725,0.9911917790615005,0.98304201678725,0.7845804989337921
97,0.47409330089332385,-0.01700209639966488,0.40302177280795337,0.9631344152427687,0.9999894432103761,0.8827163021444684,0.4313723473430868,1.0,0.7675286863338805,0.8373689004050098,0.8029814622453656,0.7975,0.5276077047017834,0.6547146422312281,0.43702570775642696,0.5335,0.15806293907253888,0.07415453222158833,0.1586632113881874,-0.08319591481108948,1.0,1.0,0.9999784231185913,0.9886277914047241,0.9415109157562256,,0.49135017213215554,0.9999994062525741,0.9986579725683495,0.35,0.3011768269753559,0.8114435545038253,0.7858950057404541,0.6357833111332886,0.18002331292258708,0.6032862960750388,0.18002331292258708,0.34216853976249695
98,0.3916366719698326,-0.06537279486656189,0.4777938940591889,0.9459803325506893,0.30532471892082724,0.4388021271209168,0.19956183789045948,0.4825,0.39371317181152127,0.5147975435281965,0.40069820817455204,0.496,0.23619808968401484,0.3209473672800819,0.12412169653042414,0.213,0.044977617770793676,-0.006329418596702147,0.04839484506116891,-0.043371889369310704,0.7245,0.4755,0.9567371010780334,0.9648842215538025,0.8820304274559021,,0.26174717377170165,0.5012447218087327,0.7392310622412238,0.21,0.24668812365851742,0.8190142274624964,0.7848543945538058,0.6681046014510025,0.27700061636377943,0.637243459957771,0.27700061636377943,0.06663400679826736
99,0.4987803063976192,-0.016100402921438217,0.32021012727464043,0.9600941099527508,0.9998963420548094,0.871000368478822,0.34974821593705396,1.0,0.7507151131175929,0.8224906677439723,0.7764952626238156,0.786,0.4982645080967602,0.6396598294918293,0.41220477255119314,0.5205,0.14979034200697874,0.0782597470440218,0.14897578998492417,-0.08043367428194001,1.0,1.0,0.9999606013298035,0.9882102608680725,0.937156617641449,,0.48350469428937665,0.9995547887979597,0.99843668306503,0.355,0.30560397353432955,0.7977597519626949,0.7776460492413855,0.6343957226923936,0.17186281969381884,0.5954160858975732,0.17186281969381884,0.3366682380437851
100,0.1541142655333929,-0.4782373011112213,0.15248609539433,0.6201268097671537,0.13132932234504568,0.35483347250061176,0.061319205329801334,0.2155,0.192714681077254,0.4106487695776433,0.09716248979062245,0.2145,0.29189566001385175,0.3619863992317898,0.07764042291010573,0.16,0.0370448038793731,-0.009174909226159903,0.03522162650976361,-0.04233804746735318,0.742,0.1965,0.8369754552841187,0.8423346281051636,0.7929717898368835,,0.23971666146570392,0.2299238340109997,0.24751029490059098,0.12,0.27573382086732146,0.8094976915269297,0.7783447846142176,0.705154139809684,0.34778604201652696,0.6601956644918395,0.34778604201652696,0.036559089086949825
101,0.9764792690731,-0.009540214203298092,0.9954686920839458,0.9910968002589456,0.996437596886759,0.8983279184168614,0.5790756307689077,0.9995,0.8193390964386084,0.8941161920380554,0.8304521331130332,0.827,0.6617586964976293,0.8199938493930412,0.5193423998355999,0.623,0.6481415013119628,0.5995331326216402,0.6484337438615712,-0.04892401981644734,0.997,0.998,0.9994008541107178,0.9914986491203308,0.9548922181129456,,0.6234614309296316,0.9997196128148015,0.9996715348439615,0.45,0.6102071884602475,0.9863583684231537,0.9710639076518769,0.9491711968046656,0.953014362104083,0.9649019587459449,0.9491711968046656,0.7142543196678162
102,0.9928879351915386,-0.0022321816068142653,0.9954605317786847,0.9995896754214797,0.9987316910135499,0.930615664628801,0.5870352657588165,0.9995,0.8491095893872973,0.9187394184931253,0.8522730450682613,0.836,0.7305953893477409,0.850276796648647,0.5861427250356812,0.6645,0.6727631156538686,0.619951709636293,0.6796694781568243,-0.05533236572796607,0.9995,1.0,0.9997061491012573,0.9932703971862793,0.9654102325439453,,0.6821811376816267,0.9999693047232693,0.9998182238806393,0.48,0.6638254594773767,0.9969602673620988,0.9935601555022258,0.9786901508211084,0.9686822597467246,0.9844732083580394,0.9686822597467246,0.7235482931137085
103,0.1926208605207962,-0.38398921489715576,0.16260322795218682,0.6246519777735073,0.06530450855806756,0.25975590140745014,0.031697955424488854,0.121,0.09414588457078112,0.29851006994691714,0.060669709667427414,0.117,0.2239967345807611,0.2366284344465119,-0.02270516367629092,0.0715,0.01902435671742706,-0.013685424787094677,0.016502001377329614,-0.03643919648793488,0.6385,0.106,0.9101188778877258,0.9022032618522644,0.834251880645752,,0.13378988386263702,0.09773636114434314,0.13134266794315075,0.065,0.15054318391201585,0.7949507208370501,0.795391269123136,0.6619748704220446,0.23623700854550372,0.6221384672319337,0.23623700854550372,0.016446607653051615
